"CODIGO","DESCRIPCIO","CODIGO_ASO","RUBRO","CODIGO_DE_","GRABADO","ALICUOTA","PROVEEDOR","COSTO","MONEDA","FECHA_ALTA","MATERIAL","ADUANA","ORIGEN","DESPACHO","BOX","TIPO","FECHA_ULT_","FECHA_ULT_","CANTIDAD_U","STOCK","UNIDAD_DE_","SUBRUBRO","UNIDADES_P","CANTIDAD_D","FORMA_DE_V","ESTADO","STOCK_MINI","STOCK_MIN2","BONIFICACI","BONIFICAC2","BONIFICAC3","BONIFICAC4","PRECIO_DE_","PRECIO_DE2","PRECIO_DE3","PRECIO_DE4","MARGEN","BASE_COSTO","PRECIO_UNI","LISTA_FORZ","LISTA_FOR2","INCLUIRLIS","COLUMNAS","LOCAL_DE_V","UNIDAD_VEN","ACTUALIZAC","MODELO","MANGA","CIERRE","TELA","COLOR","TALLE","TALLE_EN_L","PROMEDIO","MINIMO_VTA","MULTIPLO_V","BARRA_PACK"
522,PLAYERO CIERRE EXTERIOR,522,0,0,TRUE,21,,6.9, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,56,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:32,,,,,,,,,0,0,0
1011,VINIL TRES DIVISIONES,1011,38,0,TRUE,21,,7.5, $,2006-01-13,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,02/11/09,2009-11-02,3,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:54,,,,,,,,,0,0,0
3628,GONDOLA CIERRE CHAROL,3628,8,0,TRUE,21,,5.7, $,2006-01-13,89,06-10-04 BS AS,HONG KONG,04001 IC04 110647K,,2,28/07/06,2006-07-28,140,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,28/07/06 09:33,,,,,,,,,0,0,0
5201,CARTERA TAPA Y MANIJA LARGA,5201,1,0,TRUE,21,,7.2, $,2006-01-13,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,04/11/09,2009-11-04,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/02/07 15:48,,,,,,,,,0,0,0
5403,MANIJA CON HERRAJE CADENA,5403,38,0,TRUE,21,,7.45, $,2006-01-13,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,27/10/08,2008-10-27,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:55,,,,,,,,,0,0,0
54031,MANIJA CON HERRAJE CADENA,5403,38,0,TRUE,21,,7.45, $,2006-01-13,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,19/07/21,2021-07-19,11,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:55,,,,,,,,,0,0,0
50023,BOLSON SOFT,50023,1,0,TRUE,21,,8.95, $,2006-01-13,99,11-03-05 BS AS,HONG KONG,05001 IC04 030377M,,2,02/11/09,2009-11-02,127,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:05,,,,,,,,,0,0,0
500321,DOS DIV BOLSILLO FTE CHICO,50032,1,0,TRUE,21,,6.8, $,2006-01-13,99,12-12-05 BS AS,HONG KONG,05 001 IC04 166995M,,2,11/05/06,2006-05-11,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:17,,,,,,,,,0,0,0
50034,CORDONES,50034,1,0,TRUE,21,,8.25, $,2006-01-13,99,06-04-05 BS AS,HONG KONG,05001 IC04 042396Z,,2,31/01/06,2006-01-31,88,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:17,,,,,,,,,0,0,0
5319,MOCHILA DOS CIERRES,5319,38,0,TRUE,21,,7.2, $,2006-01-13,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,27/10/08,2008-10-27,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:53,,,,,,,,,0,0,0
500341,CORDONES,50034,1,0,TRUE,21,,8.25, $,2006-01-13,99,06-04-05 BS AS,HONG KONG,05001 IC04 042396Z,,2,11/05/06,2006-05-11,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:17,,,,,,,,,0,0,0
50037,BOLSO 2 BOLSILLOS MEDIANO,50037,1,0,TRUE,21,,7.35, $,2006-01-13,99,13-10-05 BS AS,HONG KONG,05 001IC04 136045L,,2,02/11/09,2009-11-02,31,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:22,,,,,,,,,0,0,0
500371,BOLSO 2 BOLSILLOS MEDIANO,50037,1,0,TRUE,21,,7.35, $,2006-01-13,99,13-10-05 BS AS,HONG KONG,05 001IC04 136045L,,2,21/07/21,2021-07-21,11,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:22,,,,,,,,,0,0,0
500376,BOLSO 2 BOLSILLOS MEDIANO,50037,1,0,TRUE,21,,7.35, $,2006-01-13,99,13-10-05 BS AS,HONG KONG,05 001IC04 136045L,,2,21/07/21,2021-07-21,108,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:24,,,,,,,,,0,0,0
500381,BOLSO DOS BOLSILLOS GRANDE,50038,1,0,TRUE,21,,7.8, $,2006-01-16,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,21/07/21,2021-07-21,24,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,28/07/06 09:49,,,,,,,,,0,0,0
500386,BOLSO DOS BOLSILLOS GRANDE,50038,1,0,TRUE,21,,7.8, $,2006-01-16,99,13-10-05 BS AS,HONG KONG,05 001IC04 136045L,,2,28/07/06,2006-07-28,216,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,28/07/06 09:49,,,,,,,,,0,0,0
50044,CINTURONES DOS HEBILLAS,50044,1,0,TRUE,21,,8.7, $,2006-01-16,99,06-04-05 BS AS,HONG KONG,05001 IC04042396Z,,2,31/01/06,2006-01-31,64,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:31,,,,,,,,,0,0,0
500441,CINTURONES DOS HEBILLAS,50044,1,0,TRUE,21,,8.7, $,2006-01-16,99,06-04-05 BS AS,HONG KONG,05 001 IC 04 042396Z,,2,,,,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 12:32,,,,,,,,,0,0,0
